loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2, Graduate, No,2400000.0,89700000,12,350,480000.0,,2270000.0,,approved
2,0, Not Graduate, Yes,1025000.0,36600000,8,350,540000.0,,880000.0,,rejected
3,3, Graduate, No,2275000.0,89100000,20,350,1420000.0,,3330000.0,,rejected
4,3, Graduate, No,2050000.0,92100000,8,350,3640000.0,,2330000.0,,rejected
5,5, Not Graduate, Yes,2450000.0,72600000,20,350,2480000.0,,2940000.0,,rejected
6,0, Graduate, Yes,1200000.0,40500000,10,350,1360000.0,,1370000.0,,rejected
7,5, Graduate, No,2175000.0,99000000,4,350,4500000.0,,2920000.0,,approved
8,2, Graduate, Yes,1425000.0,45000000,20,350,2640000.0,,1180000.0,,rejected
9,0, Graduate, Yes,200000.0,6600000,20,350,260000.0,,280000.0,,approved
10,5, Not Graduate, No,275000.0,12900000,10,350,640000.0,,330000.0,,rejected
11,4, Graduate, Yes,725000.0,33600000,2,350,1620000.0,,950000.0,,approved
12,2, Not Graduate, Yes,1675000.0,68100000,18,350,3060000.0,,2040000.0,,rejected
13,3, Not Graduate, Yes,1250000.0,34800000,16,350,1280000.0,,1460000.0,,rejected
14,2, Graduate, Yes,2275000.0,94500000,14,350,2160000.0,,2090000.0,,approved
15,1, Not Graduate, No,475000.0,22200000,6,350,380000.0,,590000.0,,rejected
16,5, Not Graduate, No,1175000.0,32100000,10,350,1140000.0,780000.0,1640000.0,,approved
17,2, Graduate, Yes,125000.0,4800000,4,350,260000.0,20000.0,130000.0,,approved
18,4, Not Graduate, Yes,725000.0,28200000,14,350,580000.0,560000.0,670000.0,,approved
19,2, Graduate, No,675000.0,30900000,10,350,200000.0,0.0,620000.0,,approved
20,5, Graduate, No,1575000.0,43800000,12,350,2060000.0,700000.0,2350000.0,,approved
21,2, Graduate, No,1250000.0,58200000,12,350,1900000.0,320000.0,1800000.0,915000.0,rejected
22,4, Graduate, No,1450000.0,42000000,16,350,760000.0,2260000.0,2220000.0,810000.0,rejected
23,4, Graduate, Yes,1625000.0,77100000,18,350,2620000.0,340000.0,1950000.0,1275000.0,rejected
24,0, Not Graduate, Yes,125000.0,4200000,2,350,180000.0,120000.0,110000.0,45000.0,approved
25,0, Not Graduate, No,1225000.0,29400000,16,350,760000.0,1740000.0,1000000.0,495000.0,rejected
26,5, Not Graduate, No,775000.0,28500000,20,350,1580000.0,620000.0,660000.0,390000.0,rejected
27,4, Graduate, No,2050000.0,84300000,12,350,2300000.0,2120000.0,2530000.0,1080000.0,approved
28,4, Not Graduate, Yes,600000.0,16800000,4,350,900000.0,840000.0,540000.0,375000.0,approved
