loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,approved
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,rejected
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,rejected
4,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,rejected
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,rejected
6,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,rejected
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,approved
8,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,rejected
9,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000,approved
10,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,rejected
11,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,approved
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,rejected
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,rejected
14,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,approved
15,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,rejected
16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,approved
17,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000,approved
18,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,approved
19,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000,approved
20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,approved
21,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,rejected
22,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,rejected
23,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,rejected
24,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000,approved
25,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,rejected
26,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,rejected
27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,approved
28,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,approved
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,rejected
30,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,approved
31,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,rejected
32,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,rejected
33,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000,rejected
34,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,approved
35,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,approved
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,approved
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000,approved
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,rejected
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,approved
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000,rejected
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,approved
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,approved
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000,rejected
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,rejected
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,approved
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,rejected
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,approved
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,approved
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000,approved
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,approved
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000,rejected
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,rejected
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000,approved
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,approved
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,approved
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,approved
57,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,rejected
58,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,approved
59,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,rejected
60,4, Not Graduate, Yes,5500000,18200000,16,797,-100000,4900000,18600000,4800000,approved
61,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,rejected
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,approved
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,rejected
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,approved
65,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,approved
66,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,rejected
67,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,approved
68,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,rejected
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,approved
70,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,rejected
71,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000,rejected
72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,approved
73,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,rejected
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,approved
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,rejected
76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000,approved
77,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,approved
78,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,approved
79,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,approved
80,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000,approved
81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,rejected
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000,approved
83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,rejected
84,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000,approved
85,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,approved
86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,rejected
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,rejected
88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,rejected
89,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,approved
90,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000,approved
91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000,rejected
92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,rejected
93,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,approved
94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000,rejected
95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000,rejected
96,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000,approved
97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,rejected
98,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,approved
99,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,approved
100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,rejected
101,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000,rejected
102,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000,approved
103,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,approved
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,approved
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,rejected
106,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,approved
107,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,approved
108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,approved
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,approved
110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000,rejected
111,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000,approved
112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,rejected
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,rejected
